Export:,Graph,,,
File:,weight-shift1,,,
Units:,N,,,
Graphed Value:,Estimated Load,,,
Frame,Date,Time,Left Insole,Right Insole
322,2026-03-27,09:17:53,0,410.13658
323,2026-03-27,09:17:53,0,410.147406
324,2026-03-27,09:17:53,0,413.348909
325,2026-03-27,09:17:53,0,411.021867
326,2026-03-27,09:17:53,0,411.365142
327,2026-03-27,09:17:53,0,413.052603
328,2026-03-27,09:17:53,0,413.381455
329,2026-03-27,09:17:53,0,415.058091
330,2026-03-27,09:17:53,0,415.621788
331,2026-03-27,09:17:53,0,418.465559
332,2026-03-27,09:17:53,0,417.229768
333,2026-03-27,09:17:53,0,419.853117
334,2026-03-27,09:17:53,0,421.233446
335,2026-03-27,09:17:53,0,419.115966
336,2026-03-27,09:17:53,0,422.400582
337,2026-03-27,09:17:53,0,425.226298
338,2026-03-27,09:17:53,0,424.734887
339,2026-03-27,09:17:54,0,427.401607
340,2026-03-27,09:17:54,0,430.165863
341,2026-03-27,09:17:54,0,430.400743
342,2026-03-27,09:17:54,0,433.277059
343,2026-03-27,09:17:54,0,433.421598
344,2026-03-27,09:17:54,0,435.651071
345,2026-03-27,09:17:54,0,437.374709
346,2026-03-27,09:17:54,0,439.774038
347,2026-03-27,09:17:54,0,443.123677
348,2026-03-27,09:17:54,0,443.499498
349,2026-03-27,09:17:54,0,444.279987
350,2026-03-27,09:17:54,0,446.007223
351,2026-03-27,09:17:54,0,445.877141
352,2026-03-27,09:17:54,0,445.382099
353,2026-03-27,09:17:54,0,445.588064
354,2026-03-27,09:17:54,0,447.477893
355,2026-03-27,09:17:54,0,446.140902
356,2026-03-27,09:17:54,0,447.998219
357,2026-03-27,09:17:54,0,446.798571
358,2026-03-27,09:17:54,0,447.517633
359,2026-03-27,09:17:54,0,447.857277
360,2026-03-27,09:17:54,0,451.326206
361,2026-03-27,09:17:54,0,451.597195
362,2026-03-27,09:17:54,0,455.084178
363,2026-03-27,09:17:54,0,451.355121
364,2026-03-27,09:17:54,0,452.298203
365,2026-03-27,09:17:54,0,452.923326
366,2026-03-27,09:17:54,0,451.91159
367,2026-03-27,09:17:54,0,451.210582
368,2026-03-27,09:17:54,0,448.048819
369,2026-03-27,09:17:54,0,447.250242
370,2026-03-27,09:17:54,0,445.772343
371,2026-03-27,09:17:54,0,443.405526
372,2026-03-27,09:17:54,0,443.922255
373,2026-03-27,09:17:54,0,442.755119
374,2026-03-27,09:17:54,0,441.616864
375,2026-03-27,09:17:54,0,441.038743
376,2026-03-27,09:17:54,0,442.227565
377,2026-03-27,09:17:54,0,440.670151
378,2026-03-27,09:17:54,0,438.523756
379,2026-03-27,09:17:54,0,438.314194
380,2026-03-27,09:17:54,0,436.35571
381,2026-03-27,09:17:54,0,435.455966
382,2026-03-27,09:17:54,0,436.221997
383,2026-03-27,09:17:54,0,433.284288
384,2026-03-27,09:17:54,0,436.214768
385,2026-03-27,09:17:54,1.261091,438.689981
386,2026-03-27,09:17:54,1.445377,442.292588
387,2026-03-27,09:17:54,1.261091,444.572662
388,2026-03-27,09:17:54,1.806721,446.896107
389,2026-03-27,09:17:54,7.638817,447.011765
390,2026-03-27,09:17:54,24.101662,448.663083
391,2026-03-27,09:17:54,57.359787,450.256606
392,2026-03-27,09:17:54,98.625296,450.563772
393,2026-03-27,09:17:54,134.495947,448.681172
394,2026-03-27,09:17:54,161.047518,447.387552
395,2026-03-27,09:17:54,180.065064,445.931339
396,2026-03-27,09:17:54,189.611779,447.138215
397,2026-03-27,09:17:54,198.4864,446.896107
398,2026-03-27,09:17:54,202.616562,448.048819
399,2026-03-27,09:17:54,204.455808,449.176214
400,2026-03-27,09:17:54,208.221009,449.349633
401,2026-03-27,09:17:54,215.661086,446.827452
402,2026-03-27,09:17:54,218.656641,446.281843
403,2026-03-27,09:17:54,223.751588,442.961084
404,2026-03-27,09:17:54,227.336124,439.116368
405,2026-03-27,09:17:54,228.806794,435.300567
406,2026-03-27,09:17:54,234.212504,429.179409
407,2026-03-27,09:17:54,236.348056,420.507155
408,2026-03-27,09:17:54,240.239724,412.908065
409,2026-03-27,09:17:54,241.504429,404.051532
410,2026-03-27,09:17:54,243.484599,394.895061
411,2026-03-27,09:17:54,243.538797,385.041214
412,2026-03-27,09:17:54,244.178378,373.723892
413,2026-03-27,09:17:54,248.785511,358.088531
414,2026-03-27,09:17:54,251.625684,342.164093
415,2026-03-27,09:17:54,251.748537,327.699499
416,2026-03-27,09:17:54,253.237279,307.785806
417,2026-03-27,09:17:54,252.901232,294.600341
418,2026-03-27,09:17:54,253.663666,281.584731
419,2026-03-27,09:17:54,253.667281,269.353225
420,2026-03-27,09:17:54,253.631137,257.360212
421,2026-03-27,09:17:54,252.962659,245.323844
422,2026-03-27,09:17:54,245.970654,236.344442
423,2026-03-27,09:17:54,246.245274,228.600829
424,2026-03-27,09:17:54,243.520725,219.892432
425,2026-03-27,09:17:54,240.062673,213.128062
426,2026-03-27,09:17:54,238.671484,201.825214
427,2026-03-27,09:17:54,235.936109,197.232538
428,2026-03-27,09:17:54,234.516039,189.575652
429,2026-03-27,09:17:54,231.646968,181.517679
430,2026-03-27,09:17:54,228.94049,178.023467
431,2026-03-27,09:17:54,228.369564,174.626842
432,2026-03-27,09:17:54,222.909656,172.505748
433,2026-03-27,09:17:54,222.125536,175.967431
434,2026-03-27,09:17:54,224.134621,176.404644
435,2026-03-27,09:17:54,224.275545,181.561034
436,2026-03-27,09:17:54,225.435452,183.848336
437,2026-03-27,09:17:54,226.03889,185.467159
438,2026-03-27,09:17:54,225.507721,188.603639
439,2026-03-27,09:17:54,224.355026,192.791613
440,2026-03-27,09:17:54,222.356802,194.612787
441,2026-03-27,09:17:54,223.12285,196.921775
442,2026-03-27,09:17:54,222.33873,198.334633
443,2026-03-27,09:17:54,223.440825,201.738504
444,2026-03-27,09:17:54,221.749749,204.025806
445,2026-03-27,09:17:54,223.646807,207.379077
446,2026-03-27,09:17:54,223.849158,209.153281
447,2026-03-27,09:17:54,222.906042,209.221937
448,2026-03-27,09:17:54,223.762431,211.534539
449,2026-03-27,09:17:54,223.964782,210.97807
450,2026-03-27,09:17:54,227.672171,212.040424
451,2026-03-27,09:17:54,231.451829,212.116308
452,2026-03-27,09:17:54,236.427537,212.488481
453,2026-03-27,09:17:54,240.919045,216.199501
454,2026-03-27,09:17:54,245.688806,219.484116
455,2026-03-27,09:17:54,250.256181,220.701835
456,2026-03-27,09:17:54,252.532657,222.259232
457,2026-03-27,09:17:54,252.984345,223.527551
458,2026-03-27,09:17:54,257.154247,221.724449
459,2026-03-27,09:17:54,258.628531,223.516708
460,2026-03-27,09:17:54,260.684585,222.906042
461,2026-03-27,09:17:54,262.737024,222.512183
462,2026-03-27,09:17:54,263.271807,224.412855
463,2026-03-27,09:17:54,266.083066,221.82923
464,2026-03-27,09:17:54,268.475167,223.12285
465,2026-03-27,09:17:54,269.848267,221.14268
466,2026-03-27,09:17:54,272.818522,218.396462
467,2026-03-27,09:17:54,281.089689,215.733356
468,2026-03-27,09:17:54,283.940705,214.374712
469,2026-03-27,09:17:54,285.967828,208.141511
470,2026-03-27,09:17:54,289.321132,205.680755
471,2026-03-27,09:17:54,290.589435,202.00951
472,2026-03-27,09:17:54,292.060105,196.264139
473,2026-03-27,09:17:54,293.841538,188.495226
474,2026-03-27,09:17:54,294.531686,182.168087
475,2026-03-27,09:17:54,295.290523,179.331544
476,2026-03-27,09:17:54,297.809107,174.44616
477,2026-03-27,09:17:54,298.015072,171.331383
478,2026-03-27,09:17:54,297.212864,169.221132
479,2026-03-27,09:17:54,298.445057,167.674578
480,2026-03-27,09:17:54,301.133463,166.782046
481,2026-03-27,09:17:54,298.701622,165.119868
482,2026-03-27,09:17:54,299.135238,163.800965
483,2026-03-27,09:17:54,296.800933,159.952652
484,2026-03-27,09:17:54,293.805395,156.964325
485,2026-03-27,09:17:54,293.946336,155.070882
486,2026-03-27,09:17:54,293.266981,149.206272
487,2026-03-27,09:17:54,294.267926,145.686777
488,2026-03-27,09:17:54,293.682542,140.425606
489,2026-03-27,09:17:55,294.369093,136.54115
490,2026-03-27,09:17:55,296.150526,134.813931
491,2026-03-27,09:17:55,296.768421,132.085776
492,2026-03-27,09:17:55,299.521851,128.949313
493,2026-03-27,09:17:55,302.177746,125.541836
494,2026-03-27,09:17:55,303.962777,126.871582
495,2026-03-27,09:17:55,304.746896,122.604102
496,2026-03-27,09:17:55,307.886973,122.177723
497,2026-03-27,09:17:55,309.534728,121.606797
498,2026-03-27,09:17:55,311.814801,119.189405
499,2026-03-27,09:17:55,314.709173,120.862426
500,2026-03-27,09:17:55,315.865448,121.458644
501,2026-03-27,09:17:55,317.343347,120.844363
502,2026-03-27,09:17:55,320.107637,122.95822
