Export:,Graph,,,
File:,walk,,,
Units:,N/cm²,,,
Graphed Value:,Peak Pressure,,,
Frame,Date,Time,Left Insole,Right Insole
389,2026-03-27,09:20:51,17.662429,11.893456
390,2026-03-27,09:20:51,14.198891,11.59181
391,2026-03-27,09:20:51,10.29635,11.292858
392,2026-03-27,09:20:51,7.982836,10.993906
393,2026-03-27,09:20:51,6.636204,10.69226
394,2026-03-27,09:20:51,5.224933,10.396001
395,2026-03-27,09:20:51,3.614361,10.158994
396,2026-03-27,09:20:51,2.706731,9.709219
397,2026-03-27,09:20:51,2.146532,9.709219
398,2026-03-27,09:20:51,1.168877,9.262137
399,2026-03-27,09:20:51,0.732568,9.035902
400,2026-03-27,09:20:51,0.883391,8.812361
401,2026-03-27,09:20:51,1.034214,8.362586
402,2026-03-27,09:20:51,1.034214,8.141739
403,2026-03-27,09:20:51,1.034214,8.036701
404,2026-03-27,09:20:51,1.185036,7.81316
405,2026-03-27,09:20:51,1.185036,7.586926
406,2026-03-27,09:20:51,1.185036,7.468422
407,2026-03-27,09:20:51,1.185036,7.363385
408,2026-03-27,09:20:51,1.185036,7.363385
409,2026-03-27,09:20:51,1.185036,7.137151
410,2026-03-27,09:20:51,1.185036,6.910917
411,2026-03-27,09:20:51,1.034214,6.711615
412,2026-03-27,09:20:51,1.034214,6.5177
413,2026-03-27,09:20:51,0.883391,6.26184
414,2026-03-27,09:20:51,0.732568,6.690069
415,2026-03-27,09:20:51,0.732568,6.90553
416,2026-03-27,09:20:51,0,7.398398
417,2026-03-27,09:20:51,0,8.136352
418,2026-03-27,09:20:51,0,8.629219
419,2026-03-27,09:20:51,0,9.119394
420,2026-03-27,09:20:51,0,9.614954
421,2026-03-27,09:20:51,0,10.352909
422,2026-03-27,09:20:51,0,10.980439
423,2026-03-27,09:20:51,0,11.920389
424,2026-03-27,09:20:51,0,12.857645
425,2026-03-27,09:20:51,0,13.797594
426,2026-03-27,09:20:51,0,14.737543
427,2026-03-27,09:20:51,0,15.677493
428,2026-03-27,09:20:51,0,16.617442
429,2026-03-27,09:20:51,0,17.735147
430,2026-03-27,09:20:51,0,19.192203
431,2026-03-27,09:20:51,0,20.646566
432,2026-03-27,09:20:51,0,21.618834
433,2026-03-27,09:20:51,0,23.073197
434,2026-03-27,09:20:51,0,23.557985
435,2026-03-27,09:20:51,0,24.532946
436,2026-03-27,09:20:51,0,25.017734
437,2026-03-27,09:20:51,0,25.992696
438,2026-03-27,09:20:51,0,26.477483
439,2026-03-27,09:20:51,0,26.962271
440,2026-03-27,09:20:51,0,27.444365
441,2026-03-27,09:20:51,0,27.93454
442,2026-03-27,09:20:51,0,28.42202
443,2026-03-27,09:20:51,0,28.909501
444,2026-03-27,09:20:51,0,28.909501
445,2026-03-27,09:20:51,0,29.88177
446,2026-03-27,09:20:51,0,30.369251
447,2026-03-27,09:20:51,0,30.854038
448,2026-03-27,09:20:51,0,30.854038
449,2026-03-27,09:20:51,0,31.336133
450,2026-03-27,09:20:51,0,31.336133
451,2026-03-27,09:20:51,0,30.854038
452,2026-03-27,09:20:51,0,30.369251
453,2026-03-27,09:20:51,0,30.854038
454,2026-03-27,09:20:51,0,30.369251
455,2026-03-27,09:20:51,0,29.88177
456,2026-03-27,09:20:51,0,29.88177
457,2026-03-27,09:20:51,0,29.394289
458,2026-03-27,09:20:51,0,28.42202
459,2026-03-27,09:20:51,0,27.444365
460,2026-03-27,09:20:51,0,25.505215
461,2026-03-27,09:20:51,0,23.557985
462,2026-03-27,09:20:51,0,20.646566
463,2026-03-27,09:20:51,0,17.250359
464,2026-03-27,09:20:51,0,14.425125
465,2026-03-27,09:20:51,0,11.605277
466,2026-03-27,09:20:51,0.708329,8.629219
467,2026-03-27,09:20:51,1.492069,6.458448
468,2026-03-27,09:20:51,2.852167,4.97446
469,2026-03-27,09:20:51,4.645881,3.700545
470,2026-03-27,09:20:51,6.078698,2.776756
471,2026-03-27,09:20:51,7.04558,2.022642
472,2026-03-27,09:20:51,7.998996,1.729076
473,2026-03-27,09:20:51,9.431812,1.432817
474,2026-03-27,09:20:51,10.694953,1.432817
475,2026-03-27,09:20:51,11.589117,1.432817
476,2026-03-27,09:20:51,12.483281,1.432817
477,2026-03-27,09:20:51,12.77954,1.432817
478,2026-03-27,09:20:51,13.078492,1.432817
479,2026-03-27,09:20:51,13.404377,1.284687
480,2026-03-27,09:20:51,13.996896,1.284687
481,2026-03-27,09:20:51,14.295848,1.139251
482,2026-03-27,09:20:51,14.888366,1.139251
483,2026-03-27,09:20:51,15.351608,0.991121
484,2026-03-27,09:20:51,15.647867,0.991121
485,2026-03-27,09:20:51,15.647867,0.842992
486,2026-03-27,09:20:51,15.351608,0.842992
487,2026-03-27,09:20:51,15.351608,0.842992
488,2026-03-27,09:20:51,14.756396,0.842992
489,2026-03-27,09:20:51,14.460137,0.842992
490,2026-03-27,09:20:51,14.161185,0.842992
491,2026-03-27,09:20:51,13.864926,0.842992
492,2026-03-27,09:20:51,13.864926,0.694862
493,2026-03-27,09:20:51,13.568667,0.694862
494,2026-03-27,09:20:51,13.272408,0.694862
495,2026-03-27,09:20:51,12.973455,0.694862
496,2026-03-27,09:20:51,12.677196,0.694862
497,2026-03-27,09:20:51,12.380937,0.694862
498,2026-03-27,09:20:51,12.380937,0.694862
499,2026-03-27,09:20:51,12.081985,0.694862
500,2026-03-27,09:20:51,11.788419,0.694862
501,2026-03-27,09:20:51,11.193207,0.694862
502,2026-03-27,09:20:51,10.896948,0.694862
503,2026-03-27,09:20:51,10.309817,0
504,2026-03-27,09:20:51,9.860041,0
