sample,right_foot,left_foot
1014,265.98,292.18
1015,266.2,291.95
1016,265.98,291.59
1017,265.8,291.91
1018,265.71,292.04
1019,265.79,292.22
1020,266.11,292.0
1021,266.07,291.91
1022,266.25,291.73
1023,265.62,292.23
1024,266.02,292.09
1025,266.11,292.27
1026,265.84,292.0
1027,265.61,291.86
1028,265.8,292.04
1029,266.07,292.22
1030,266.43,292.08
1031,265.93,292.27
1032,265.84,292.04
1033,266.02,291.9
1034,266.25,292.4
1035,265.57,292.27
1036,265.93,292.22
1037,265.93,291.91
1038,266.07,292.27
1039,265.97,292.45
1040,265.48,292.49
1041,265.71,291.95
1042,266.02,291.64
1043,265.93,292.27
1044,265.75,292.49
1045,265.84,292.67
1046,265.93,292.13
1047,266.06,292.26
1048,265.53,292.17
1049,265.57,292.22
1050,265.62,291.9
1051,265.98,292.08
1052,265.61,292.44
1053,265.48,292.22
1054,265.39,292.13
1055,265.57,292.18
1056,265.7,292.22
1057,265.66,292.45
1058,265.84,292.49
1059,266.07,292.18
1060,265.8,292.27
1061,265.61,292.86
1062,265.3,292.58
1063,265.66,292.36
1064,265.97,292.31
1065,265.98,292.49
1066,265.7,292.31
1067,265.48,291.99
1068,265.3,292.49
1069,266.25,292.22
1070,265.71,292.72
1071,265.48,292.49
1072,265.61,292.67
1073,265.38,292.63
1074,265.3,292.72
1075,265.44,292.85
1076,265.3,292.4
1077,265.53,292.36
1078,265.3,292.63
1079,265.48,292.49
1080,265.66,292.31
1081,264.89,292.63
1082,265.21,292.62
1083,265.43,292.58
1084,265.44,292.58
1085,265.39,292.58
1086,265.25,292.63
1087,265.34,292.67
1088,265.35,292.44
1089,265.44,292.72
1090,265.7,292.58
1091,265.52,292.35
1092,265.16,292.67
1093,265.25,292.4
1094,265.39,292.76
1095,265.3,292.22
1096,265.39,292.17
1097,265.57,292.35
1098,265.07,292.4
1099,265.34,292.36
1100,265.25,292.36
1101,265.21,292.72
1102,265.34,293.22
1103,265.26,292.9
1104,265.48,292.76
1105,265.43,292.8
1106,265.07,292.45
1107,265.03,292.58
1108,264.8,292.49
1109,264.98,292.44
1110,265.16,292.67
1111,265.16,292.49
1112,264.94,292.31
1113,265.43,292.8
1114,265.16,292.9
1115,265.39,292.31
1116,265.3,292.22
1117,265.2,292.36
1118,265.3,292.4
1119,264.98,293.03
1120,264.75,292.9
1121,264.85,292.86
1122,265.07,292.13
1123,264.89,292.63
1124,265.07,292.94
1125,264.93,292.76
1126,265.07,292.67
1127,264.62,292.4
1128,264.93,292.76
1129,265.07,292.58
1130,264.8,292.63
1131,264.76,292.13
1132,264.71,292.81
1133,265.21,292.67
1134,264.98,292.67
1135,264.89,292.63
1136,264.93,292.08
1137,264.98,292.67
1138,264.98,292.94
1139,264.4,292.72
1140,264.98,293.08
1141,264.67,292.72
1142,264.71,292.95
1143,264.93,293.04
1144,265.02,292.8
1145,264.75,292.94
1146,264.71,292.58
1147,264.8,292.99
1148,264.8,292.49
1149,264.48,292.85
1150,264.62,293.21
1151,265.02,292.63
1152,264.79,292.85
1153,264.93,293.03
1154,264.88,292.63
1155,264.39,292.49
1156,264.53,292.67
1157,264.98,293.39
1158,264.57,292.72
1159,264.71,293.17
1160,264.44,293.08
1161,263.99,292.49
1162,264.52,293.13
1163,264.44,293.44
1164,264.21,292.81
1165,264.71,292.67
1166,264.84,292.72
1167,264.53,293.03
1168,264.39,293.48
1169,264.62,293.03
1170,264.3,293.08
1171,264.43,293.08
1172,264.66,293.17
1173,264.48,292.99
1174,264.39,292.9
1175,264.39,292.95
1176,264.75,292.99
1177,264.3,292.99
1178,264.3,293.03
1179,264.17,293.26
1180,264.84,292.99
1181,264.25,293.49
1182,264.16,293.22
1183,264.3,293.4
1184,264.21,292.85
1185,264.93,293.26
1186,264.57,293.62
1187,264.26,293.12
1188,264.52,293.49
1189,263.98,293.44
1190,264.21,293.17
1191,264.62,293.26
1192,264.52,292.9
1193,264.53,293.44
1194,264.44,293.58
1195,264.07,293.63
1196,264.53,293.44
1197,264.52,293.71
1198,264.25,293.44
1199,264.21,293.08
1200,264.21,293.49
1201,264.43,293.49
1202,264.43,293.4
1203,264.43,293.62
1204,264.43,293.49
1205,264.3,293.17
1206,264.25,293.44
1207,264.12,293.58
1208,264.07,293.49
1209,264.39,293.99
1210,264.21,293.4
1211,264.48,293.58
1212,264.17,293.71
1213,264.26,293.85
1214,264.21,293.49
1215,263.89,293.94
1216,264.16,293.76
1217,264.66,293.58
1218,263.8,293.53
1219,264.3,293.53
1220,264.3,293.35
1221,264.25,293.49
1222,264.44,293.94
1223,264.3,294.03
1224,263.98,293.89
1225,264.48,293.62
1226,264.16,294.16
1227,264.21,294.03
1228,264.03,293.53
1229,263.85,293.85
1230,264.12,294.16
1231,264.26,293.57
1232,264.25,293.48
1233,263.85,293.98
1234,263.8,294.43
1235,264.07,294.16
1236,263.89,293.53
1237,264.25,293.48
1238,264.26,293.98
1239,263.99,293.39
1240,263.8,293.8
1241,264.17,293.26
1242,264.21,293.8
1243,264.12,293.75
1244,263.89,293.53
1245,264.39,292.85
1246,264.12,293.62
1247,263.8,293.84
1248,264.03,293.21
1249,264.44,293.57
1250,264.21,293.71
1251,263.99,293.66
1252,263.89,293.53
1253,263.71,293.39
1254,263.31,293.21
1255,264.16,293.48
1256,263.94,293.57
1257,263.76,293.75
1258,263.76,293.8
1259,264.12,293.62
1260,263.81,293.66
1261,264.17,293.48
1262,263.4,293.58
1263,263.76,293.53
1264,264.21,293.61
1265,264.21,293.21
1266,263.89,293.62
1267,264.12,293.75
1268,263.94,293.39
1269,263.99,293.53
1270,263.63,293.44
1271,263.62,293.21
1272,263.53,293.34
1273,263.89,293.44
1274,263.85,293.57
1275,263.8,293.61
1276,263.62,293.62
1277,263.71,293.66
1278,263.67,293.48
1279,263.72,293.21
1280,264.12,293.34
1281,263.67,293.75
1282,263.67,293.21
1283,263.62,293.84
1284,264.03,293.34
1285,264.03,293.7
1286,263.94,292.94
1287,264.12,293.02
1288,263.99,293.43
1289,263.49,293.21
1290,264.08,293.39
1291,263.49,293.07
1292,263.4,293.75
1293,263.98,293.43
1294,264.07,293.21
1295,263.71,292.89
1296,263.94,293.12
1297,263.9,293.43
1298,263.94,293.39
1299,263.76,293.48
1300,263.63,293.39
1301,263.31,292.71
1302,263.49,293.12
1303,263.85,293.21
1304,263.98,293.39
1305,263.94,293.07
1306,263.76,292.71
1307,263.49,293.07
1308,263.85,293.43
1309,263.9,293.16
1310,263.8,293.02
1311,263.85,293.21
1312,263.8,292.62
1313,263.53,293.21
1314,263.89,292.76
1315,263.63,292.71
1316,263.13,292.94
1317,263.49,292.98
1318,263.94,293.25
1319,263.44,293.43
1320,263.98,292.89
1321,263.71,292.94
1322,263.76,293.16
1323,263.85,293.07
1324,263.53,292.98
1325,263.67,292.98
1326,263.62,292.98
1327,263.9,292.93
1328,263.76,293.34
1329,263.49,293.16
1330,263.53,293.43
1331,263.85,292.93
1332,263.49,292.98
1333,263.49,292.98
1334,263.94,293.03
1335,263.49,292.98
1336,263.53,293.03
1337,263.8,293.17
1338,263.76,293.25
1339,263.85,293.21
1340,264.08,293.48
1341,263.4,293.53
1342,263.72,293.26
1343,263.62,293.12
1344,263.89,293.12
1345,263.8,293.21
1346,263.71,293.25
1347,263.85,293.35
1348,263.49,293.16
1349,263.49,293.66
1350,263.67,293.39
1351,263.76,293.44
1352,263.49,293.17
1353,263.53,293.26
1354,263.71,293.03
1355,263.4,292.94
1356,263.44,293.26
1357,263.85,293.21
